Country or Area,Time Period,Sex,Age group,Unit of measurement,Nature,Value
Chile,2009,Total,15 - 24,Percent,Modeled,1.894600153
Chile,2009,Total,15+,Percent,Modeled,2.0864551067
Chile,2009,Total,25+,Percent,Modeled,2.1094026566
Chile,2006,Female,15 - 24,Percent,Modeled,1.4840701818
Chile,2006,Female,15+,Percent,Modeled,1.5320866108
Chile,2006,Female,25+,Percent,Modeled,1.5381752253
Chile,2006,Male,15+,Percent,Modeled,2.5678389072
Chile,2006,Total,15 - 24,Percent,Modeled,2.0298168659
Chile,2006,Total,15+,Percent,Modeled,2.2055892944
Chile,2006,Total,25+,Percent,Modeled,2.2275071144
Chile,2006,Male,25+,Percent,Modeled,2.5972054005
Chile,2006,Male,15 - 24,Percent,Modeled,2.3301792145
Chile,2003,Male,25+,Percent,Modeled,2.7844269276
Chile,2003,Male,15 - 24,Percent,Modeled,2.4808270931
Chile,2003,Female,15 - 24,Percent,Modeled,1.5385564566
Chile,2003,Female,15+,Percent,Modeled,1.5024828911
Chile,2003,Female,25+,Percent,Modeled,1.4978994131
Chile,2003,Male,15+,Percent,Modeled,2.7519080639
Chile,2003,Total,15 - 24,Percent,Modeled,2.1549527645
Chile,2003,Total,15+,Percent,Modeled,2.3341584206
Chile,2003,Total,25+,Percent,Modeled,2.35607934
Chile,2000,Female,15 - 24,Percent,Modeled,1.7198125124
Chile,2000,Female,25+,Percent,Modeled,1.5217285156
Chile,2000,Total,15 - 24,Percent,Modeled,2.4339091778
Chile,2000,Total,15+,Percent,Modeled,2.4704945087
Chile,2000,Total,25+,Percent,Modeled,2.4754297733
Chile,2000,Male,25+,Percent,Modeled,2.9369094372
Chile,2000,Male,15+,Percent,Modeled,2.9221048355
Chile,2000,Male,15 - 24,Percent,Modeled,2.809274435
Chile,2000,Female,15+,Percent,Modeled,1.5464402437
China,2012,Female,15 - 24,Percent,Modeled,7.5009121895
China,2012,Female,15+,Percent,Modeled,5.8413085938
China,2012,Female,25+,Percent,Modeled,5.5512938499
China,2012,Male,15 - 24,Percent,Modeled,8.2887134552
China,2012,Male,25+,Percent,Modeled,5.4281973839
China,2012,Total,15 - 24,Percent,Modeled,7.9231753349
China,2012,Total,15+,Percent,Modeled,5.8289804459
China,2012,Total,25+,Percent,Modeled,5.4823045731
China,2012,Male,15+,Percent,Modeled,5.8191747665
China,2011,Male,15+,Percent,Modeled,6.4636921883
China,2011,Female,25+,Percent,Modeled,6.0829424858
China,2011,Female,15 - 24,Percent,Modeled,8.2253341675
China,2011,Female,15+,Percent,Modeled,6.4200348854
China,2011,Male,15 - 24,Percent,Modeled,9.1091184616
China,2011,Male,25+,Percent,Modeled,6.0151801109
China,2011,Total,15 - 24,Percent,Modeled,8.6995801926
China,2011,Total,15+,Percent,Modeled,6.4443492889
China,2011,Total,25+,Percent,Modeled,6.0449609756
China,2010,Female,25+,Percent,Modeled,7.6784462929
China,2010,Female,15 - 24,Percent,Modeled,10.3890247345
China,2010,Female,15+,Percent,Modeled,8.1218500137
China,2010,Male,15 - 24,Percent,Modeled,11.3759021759
China,2010,Male,15+,Percent,Modeled,8.1419582367
China,2010,Male,25+,Percent,Modeled,7.567609787
China,2010,Total,15 - 24,Percent,Modeled,10.9188184738
China,2010,Total,15+,Percent,Modeled,8.1330490112
China,2010,Total,25+,Percent,Modeled,7.6162996292
China,2008,Female,15 - 24,Percent,Modeled,12.7872037888
China,2008,Female,15+,Percent,Modeled,10.0012254715
China,2008,Male,15 - 24,Percent,Modeled,13.8528060913
China,2008,Male,15+,Percent,Modeled,10.1181135178
China,2008,Male,25+,Percent,Modeled,9.4158821106
China,2008,Total,15 - 24,Percent,Modeled,13.3524284363
China,2008,Total,15+,Percent,Modeled,10.0660381317
China,2008,Total,25+,Percent,Modeled,9.41451931
China,2008,Female,25+,Percent,Modeled,9.4127883911
China,2005,Male,15+,Percent,Modeled,12.881696701
China,2005,Female,25+,Percent,Modeled,11.8683414459
China,2005,Female,15 - 24,Percent,Modeled,16.1493473053
China,2005,Female,15+,Percent,Modeled,12.639087677
China,2005,Male,15 - 24,Percent,Modeled,17.0868816376
China,2005,Male,25+,Percent,Modeled,12.0856809616
China,2005,Total,15 - 24,Percent,Modeled,16.6373882294
China,2005,Total,15+,Percent,Modeled,12.7728118896
China,2005,Total,25+,Percent,Modeled,11.9894895554
China,2002,Female,15 - 24,Percent,Modeled,34.2704925537
China,2002,Female,15+,Percent,Modeled,28.3318424225
China,2002,Male,15 - 24,Percent,Modeled,34.2513771057
China,2002,Male,25+,Percent,Modeled,27.0350513458
China,2002,Total,15 - 24,Percent,Modeled,34.260684967
China,2002,Total,15+,Percent,Modeled,28.2463283539
China,2002,Total,25+,Percent,Modeled,27.024477005
China,2002,Male,15+,Percent,Modeled,28.1757831573
China,2002,Female,25+,Percent,Modeled,27.0112819672
Colombia,2013,Female,15 - 24,Percent,Modeled,2.143832922
Colombia,2013,Female,15+,Percent,Modeled,3.5307564735
Colombia,2013,Female,25+,Percent,Modeled,3.735316515
Colombia,2013,Male,15 - 24,Percent,Modeled,3.5867888927
Colombia,2013,Male,15+,Percent,Modeled,3.251149416
Colombia,2013,Male,25+,Percent,Modeled,3.1940777302
Colombia,2013,Total,15+,Percent,Modeled,3.3676114082
Colombia,2013,Total,25+,Percent,Modeled,3.4220788479
Colombia,2013,Total,15 - 24,Percent,Modeled,3.0283432007
Colombia,2012,Female,15+,Percent,Estimated,3.2386732101
Colombia,2012,Female,15 - 24,Percent,Estimated,1.9437680244
Colombia,2012,Female,25+,Percent,Estimated,3.4286682606
Colombia,2012,Male,15 - 24,Percent,Estimated,3.4091670513
Colombia,2012,Male,15+,Percent,Estimated,3.074085474
Colombia,2012,Male,25+,Percent,Estimated,3.0156540871
Colombia,2012,Total,15 - 24,Percent,Estimated,2.8576815128
Colombia,2012,Total,15+,Percent,Estimated,3.1418726444
Colombia,2012,Total,25+,Percent,Estimated,3.1881480217
Colombia,2011,Female,15 - 24,Percent,Modeled,2.32888937
Colombia,2011,Female,25+,Percent,Modeled,3.7121291161
Colombia,2011,Male,15 - 24,Percent,Modeled,4.2534327507
Colombia,2011,Male,15+,Percent,Modeled,3.7645378113
Colombia,2011,Male,25+,Percent,Modeled,3.6782259941
Colombia,2011,Total,15 - 24,Percent,Modeled,3.5431478024
Colombia,2011,Total,15+,Percent,Modeled,3.6711740494
Colombia,2011,Total,25+,Percent,Modeled,3.6922156811
Colombia,2011,Female,15+,Percent,Modeled,3.5348515511
Colombia,2010,Total,15+,Percent,Modeled,4.276679039
Colombia,2010,Female,15+,Percent,Modeled,3.8825154305
Colombia,2010,Female,15 - 24,Percent,Modeled,2.8673005104
Colombia,2010,Female,25+,Percent,Modeled,4.0372872353
Colombia,2010,Male,15 - 24,Percent,Modeled,5.3265342712
Colombia,2010,Male,15+,Percent,Modeled,4.5426478386
Colombia,2010,Male,25+,Percent,Modeled,4.3992934227
Colombia,2010,Total,15 - 24,Percent,Modeled,4.426384449
Colombia,2010,Total,25+,Percent,Modeled,4.2511658669
Colombia,2009,Female,15 - 24,Percent,Modeled,3.4422402382
Colombia,2009,Female,25+,Percent,Modeled,4.3237662315
Colombia,2009,Male,15 - 24,Percent,Modeled,6.4555006027
Colombia,2009,Male,15+,Percent,Modeled,5.3459720612
Colombia,2009,Male,25+,Percent,Modeled,5.1363477707
Colombia,2009,Total,15 - 24,Percent,Modeled,5.3515510559
Colombia,2009,Total,25+,Percent,Modeled,4.8070416451
Colombia,2009,Total,15+,Percent,Modeled,4.8890576363
Colombia,2009,Female,15+,Percent,Modeled,4.2019710541
Colombia,2008,Total,15+,Percent,Modeled,5.3644251823
Colombia,2008,Female,15 - 24,Percent,Modeled,4.1109604836
Colombia,2008,Female,15+,Percent,Modeled,4.2629151344
Colombia,2008,Female,25+,Percent,Modeled,4.2899971008
Colombia,2008,Male,15 - 24,Percent,Modeled,7.6012954712
Colombia,2008,Male,15+,Percent,Modeled,6.0709371567
Colombia,2008,Male,25+,Percent,Modeled,5.7719497681
Colombia,2008,Total,15 - 24,Percent,Modeled,6.3011445999
Colombia,2008,Total,25+,Percent,Modeled,5.187748909
Colombia,2007,Female,15 - 24,Percent,Modeled,6.035736084
Colombia,2007,Female,15+,Percent,Modeled,5.9776554108
Colombia,2007,Female,25+,Percent,Modeled,5.9672107697
Colombia,2007,Male,15 - 24,Percent,Modeled,11.0667552948
Colombia,2007,Male,15+,Percent,Modeled,8.6886339188
Colombia,2007,Male,25+,Percent,Modeled,8.2119855881
Colombia,2007,Total,15 - 24,Percent,Modeled,9.2112541199
Colombia,2007,Total,25+,Percent,Modeled,7.3266515732
Colombia,2007,Total,15+,Percent,Modeled,7.6306180954
Colombia,2006,Total,15+,Percent,Modeled,9.6930389404
Colombia,2006,Female,15 - 24,Percent,Modeled,8.3627786636
Colombia,2006,Female,15+,Percent,Modeled,7.5511932373
Colombia,2006,Female,25+,Percent,Modeled,7.391556263
Colombia,2006,Male,15 - 24,Percent,Modeled,14.4863100052
Colombia,2006,Male,15+,Percent,Modeled,11.0791549683
Colombia,2006,Male,25+,Percent,Modeled,10.3588733673
Colombia,2006,Total,15 - 24,Percent,Modeled,12.1672992706
Colombia,2006,Total,25+,Percent,Modeled,9.1843757629
Colombia,2005,Female,15 - 24,Percent,Modeled,5.597878933
Colombia,2005,Female,15+,Percent,Modeled,4.8126254082
Colombia,2005,Female,25+,Percent,Modeled,4.648291111
Colombia,2005,Male,15 - 24,Percent,Modeled,10.9408168793
Colombia,2005,Male,15+,Percent,Modeled,7.852602005
Colombia,2005,Male,25+,Percent,Modeled,7.1289019585
Colombia,2005,Total,15 - 24,Percent,Modeled,8.9805002213
Colombia,2005,Total,15+,Percent,Modeled,6.6710720062
Colombia,2005,Total,25+,Percent,Modeled,6.1526575089
Colombia,2004,Female,15 - 24,Percent,Modeled,6.4042038918
Colombia,2004,Female,15+,Percent,Modeled,5.3066692352
Colombia,2004,Female,25+,Percent,Modeled,5.0731787682
Colombia,2004,Male,15 - 24,Percent,Modeled,12.2159395218
Colombia,2004,Male,15+,Percent,Modeled,8.834649086
Colombia,2004,Male,25+,Percent,Modeled,8.0575733185
Colombia,2004,Total,15 - 24,Percent,Modeled,10.0461940765
Colombia,2004,Total,15+,Percent,Modeled,7.4649319649
Colombia,2004,Total,25+,Percent,Modeled,6.8889737129
Colombia,2003,Female,15 - 24,Percent,Estimated,9.2018022537
Colombia,2003,Female,15+,Percent,Estimated,7.3308758736
Colombia,2003,Female,25+,Percent,Estimated,6.9014406204
Colombia,2003,Male,15 - 24,Percent,Estimated,16.7659816742
Colombia,2003,Male,15+,Percent,Estimated,11.8690977097
Colombia,2003,Male,25+,Percent,Estimated,10.6340017319
Colombia,2003,Total,15 - 24,Percent,Estimated,13.9206323624
Colombia,2003,Total,15+,Percent,Estimated,10.0803518295
Colombia,2003,Total,25+,Percent,Estimated,9.1464776993
Colombia,2002,Female,15 - 24,Percent,Modeled,7.81133461
Colombia,2002,Female,15+,Percent,Modeled,6.1019730568
Colombia,2002,Female,25+,Percent,Modeled,5.7140173912
Colombia,2002,Male,15 - 24,Percent,Modeled,15.4049654007
Colombia,2002,Male,15+,Percent,Modeled,10.6045732498
Colombia,2002,Male,25+,Percent,Modeled,9.3989887238
Colombia,2002,Total,15 - 24,Percent,Modeled,12.6300115585
Colombia,2002,Total,15+,Percent,Modeled,8.8729410172
Colombia,2002,Total,25+,Percent,Modeled,7.9647431374
Colombia,2001,Female,15 - 24,Percent,Modeled,10.0565443039
Colombia,2001,Female,15+,Percent,Modeled,7.888510704
Colombia,2001,Female,25+,Percent,Modeled,7.3877429962
Colombia,2001,Male,15 - 24,Percent,Modeled,19.1807441711
Colombia,2001,Male,15+,Percent,Modeled,13.8140544891
Colombia,2001,Male,25+,Percent,Modeled,12.4506320953
Colombia,2001,Total,15 - 24,Percent,Modeled,15.9285144806
Colombia,2001,Total,15+,Percent,Modeled,11.596660614
Colombia,2001,Total,25+,Percent,Modeled,10.5339813232
Colombia,2000,Female,15 - 24,Percent,Modeled,6.3925185204
Colombia,2000,Female,15+,Percent,Modeled,5.0971693993
Colombia,2000,Female,25+,Percent,Modeled,4.8215909004
Colombia,2000,Male,15 - 24,Percent,Modeled,14.6725702286
Colombia,2000,Male,15+,Percent,Modeled,10.341802597
Colombia,2000,Male,25+,Percent,Modeled,9.2619667053
Colombia,2000,Total,15 - 24,Percent,Modeled,11.9493732452
Colombia,2000,Total,15+,Percent,Modeled,8.46443367
Colombia,2000,Total,25+,Percent,Modeled,7.6420240402
Comoros,2004,Female,15 - 24,Percent,Modeled,11.5785942078
Comoros,2004,Female,15+,Percent,Modeled,9.514585495
Comoros,2004,Female,25+,Percent,Modeled,8.9217815399
Comoros,2004,Male,15 - 24,Percent,Modeled,11.6930217743
Comoros,2004,Male,15+,Percent,Modeled,7.9323158264
Comoros,2004,Male,25+,Percent,Modeled,6.9867687225
Comoros,2004,Total,15+,Percent,Modeled,8.3636007309
Comoros,2004,Total,25+,Percent,Modeled,7.503455162
Comoros,2004,Total,15 - 24,Percent,Modeled,11.6593961716
Congo,2011,Female,15 - 24,Percent,Modeled,23.835357666
Congo,2011,Female,15+,Percent,Modeled,21.107542038
Congo,2011,Female,25+,Percent,Modeled,20.4135246277
Congo,2011,Male,15 - 24,Percent,Modeled,24.7997932434
Congo,2011,Male,15+,Percent,Modeled,18.0810012817
Congo,2011,Male,25+,Percent,Modeled,16.4764003754
Congo,2011,Total,15 - 24,Percent,Modeled,24.3237743378
Congo,2011,Total,15+,Percent,Modeled,19.5364437103
Congo,2011,Total,25+,Percent,Modeled,18.3574371338
Congo,2005,Female,15 - 24,Percent,Estimated,54.3371200562
Congo,2005,Female,15+,Percent,Estimated,51.5305023193
Congo,2005,Female,25+,Percent,Estimated,50.7766265869
Congo,2005,Male,15 - 24,Percent,Estimated,53.1608924866
Congo,2005,Male,15+,Percent,Estimated,45.0722198486
Congo,2005,Male,25+,Percent,Estimated,42.9941940308
Congo,2005,Total,15 - 24,Percent,Estimated,53.7408905029
Congo,2005,Total,15+,Percent,Estimated,48.1998748779
Congo,2005,Total,25+,Percent,Estimated,46.7451057434
Costa Rica,2013,Female,15 - 24,Percent,Estimated,0.4739709795
Costa Rica,2013,Female,15+,Percent,Estimated,0.3638624251
Costa Rica,2013,Female,25+,Percent,Estimated,0.3463983536
Costa Rica,2013,Male,15 - 24,Percent,Estimated,0.6280715466
Costa Rica,2013,Male,25+,Percent,Estimated,0.7423097491
Costa Rica,2013,Total,15 - 24,Percent,Estimated,0.5735628009
Costa Rica,2013,Total,15+,Percent,Estimated,0.5910181999
Costa Rica,2013,Total,25+,Percent,Estimated,0.5939512253
Costa Rica,2013,Male,15+,Percent,Estimated,0.7254056931
Costa Rica,2012,Female,15 - 24,Percent,Modeled,0.375030458
Costa Rica,2012,Female,15+,Percent,Modeled,0.3800028563
Costa Rica,2012,Female,25+,Percent,Modeled,0.3808540404
Costa Rica,2012,Male,15 - 24,Percent,Modeled,0.5872203112
Costa Rica,2012,Male,15+,Percent,Modeled,0.6805071235
Costa Rica,2012,Male,25+,Percent,Modeled,0.6978357434
Costa Rica,2012,Total,15 - 24,Percent,Modeled,0.5130626559
Costa Rica,2012,Total,15+,Percent,Modeled,0.5707023144
Costa Rica,2012,Total,25+,Percent,Modeled,0.5811001062
Costa Rica,2011,Female,15 - 24,Percent,Modeled,0.2816384435
Costa Rica,2011,Female,15+,Percent,Modeled,0.4025807679
Costa Rica,2011,Female,25+,Percent,Modeled,0.4254379869
Costa Rica,2011,Male,15 - 24,Percent,Modeled,0.5404113531
Costa Rica,2011,Male,25+,Percent,Modeled,0.6554999352
Costa Rica,2011,Total,15 - 24,Percent,Modeled,0.4481677413
Costa Rica,2011,Total,15+,Percent,Modeled,0.5515965223
Costa Rica,2011,Total,25+,Percent,Modeled,0.57159549
Costa Rica,2011,Male,15+,Percent,Modeled,0.6366499662
Costa Rica,2010,Male,15+,Percent,Estimated,0.5453363061
Costa Rica,2010,Female,15 - 24,Percent,Estimated,0.1404540241
Costa Rica,2010,Female,15+,Percent,Estimated,0.3916831315
Costa Rica,2010,Female,25+,Percent,Estimated,0.4388791621
Costa Rica,2010,Male,15 - 24,Percent,Estimated,0.4263520241
Costa Rica,2010,Male,25+,Percent,Estimated,0.5686175823
Costa Rica,2010,Total,15 - 24,Percent,Estimated,0.3264455795
Costa Rica,2010,Total,15+,Percent,Estimated,0.4904431403
Costa Rica,2010,Total,25+,Percent,Estimated,0.5220727324
Costa Rica,2009,Female,15 - 24,Percent,Modeled,0.1592380404
Costa Rica,2009,Female,15+,Percent,Modeled,0.421903789
Costa Rica,2009,Female,25+,Percent,Modeled,0.4741154611
Costa Rica,2009,Male,15 - 24,Percent,Modeled,0.4737354219
Costa Rica,2009,Male,25+,Percent,Modeled,0.6249811053
Costa Rica,2009,Total,15 - 24,Percent,Modeled,0.3621051908
Costa Rica,2009,Total,15+,Percent,Modeled,0.5360938311
Costa Rica,2009,Total,25+,Percent,Modeled,0.5709741116
Costa Rica,2009,Male,15+,Percent,Modeled,0.5996243954
Costa Rica,2008,Male,15+,Percent,Modeled,0.6282371283
Costa Rica,2008,Female,15 - 24,Percent,Modeled,0.1836451888
Costa Rica,2008,Female,15+,Percent,Modeled,0.4138680696
Costa Rica,2008,Female,25+,Percent,Modeled,0.4674496055
Costa Rica,2008,Male,15 - 24,Percent,Modeled,0.5211032629
Costa Rica,2008,Male,25+,Percent,Modeled,0.6518883109
Costa Rica,2008,Total,15 - 24,Percent,Modeled,0.3979878426
Costa Rica,2008,Total,15+,Percent,Modeled,0.5521547794
Costa Rica,2008,Total,25+,Percent,Modeled,0.5868402719
Costa Rica,2007,Total,25+,Percent,Modeled,0.5880026817
Costa Rica,2007,Male,15+,Percent,Modeled,0.6419647932
Costa Rica,2007,Female,15 - 24,Percent,Modeled,0.1865494251
Costa Rica,2007,Female,15+,Percent,Modeled,0.4036865532
Costa Rica,2007,Female,25+,Percent,Modeled,0.4566645324
Costa Rica,2007,Male,15 - 24,Percent,Modeled,0.5740267038
Costa Rica,2007,Male,25+,Percent,Modeled,0.658397913
Costa Rica,2007,Total,15 - 24,Percent,Modeled,0.4380533993
Costa Rica,2007,Total,15+,Percent,Modeled,0.5587256551
Costa Rica,2006,Total,25+,Percent,Modeled,0.6162176728
Costa Rica,2006,Male,15+,Percent,Modeled,0.6719511747
Costa Rica,2006,Female,25+,Percent,Modeled,0.4683558941
Costa Rica,2006,Female,15 - 24,Percent,Modeled,0.1818562448
Costa Rica,2006,Female,15+,Percent,Modeled,0.4139327407
Costa Rica,2006,Male,15 - 24,Percent,Modeled,0.5790391564
Costa Rica,2006,Male,25+,Percent,Modeled,0.6937647462
Costa Rica,2006,Total,15 - 24,Percent,Modeled,0.4425002635
Costa Rica,2006,Total,15+,Percent,Modeled,0.5831982493
Costa Rica,2005,Female,15 - 24,Percent,Modeled,0.175298214
Costa Rica,2005,Female,15+,Percent,Modeled,0.4104540646
Costa Rica,2005,Male,15 - 24,Percent,Modeled,0.5653137565
Costa Rica,2005,Male,15+,Percent,Modeled,0.6661694646
Costa Rica,2005,Male,25+,Percent,Modeled,0.6898847222
Costa Rica,2005,Total,15 - 24,Percent,Modeled,0.43290025
Costa Rica,2005,Total,15+,Percent,Modeled,0.5785412788
Costa Rica,2005,Total,25+,Percent,Modeled,0.6125847101
Costa Rica,2005,Female,25+,Percent,Modeled,0.464795351
Costa Rica,2004,Total,25+,Percent,Modeled,0.6180537939
Costa Rica,2004,Female,25+,Percent,Modeled,0.436611414
Costa Rica,2004,Female,15 - 24,Percent,Modeled,0.1721909642
Costa Rica,2004,Female,15+,Percent,Modeled,0.385881871
Costa Rica,2004,Male,15 - 24,Percent,Modeled,0.6063193083
Costa Rica,2004,Male,15+,Percent,Modeled,0.6872758269
Costa Rica,2004,Male,25+,Percent,Modeled,0.7069433331
Costa Rica,2004,Total,15 - 24,Percent,Modeled,0.4657726288
Costa Rica,2004,Total,15+,Percent,Modeled,0.5884695053
Costa Rica,2003,Female,15 - 24,Percent,Modeled,0.1879553497
Costa Rica,2003,Female,15+,Percent,Modeled,0.4119048715
Costa Rica,2003,Male,15 - 24,Percent,Modeled,0.6417587399
Costa Rica,2003,Male,15+,Percent,Modeled,0.7059565783
Costa Rica,2003,Male,25+,Percent,Modeled,0.7220941186
Costa Rica,2003,Total,15 - 24,Percent,Modeled,0.4910312593
Costa Rica,2003,Total,15+,Percent,Modeled,0.6072961092
Costa Rica,2003,Total,25+,Percent,Modeled,0.6363371611
Costa Rica,2003,Female,25+,Percent,Modeled,0.4671416581
Costa Rica,2002,Female,25+,Percent,Modeled,0.4686655402
Costa Rica,2002,Female,15 - 24,Percent,Modeled,0.1971656233
Costa Rica,2002,Female,15+,Percent,Modeled,0.4132039845
Costa Rica,2002,Male,15 - 24,Percent,Modeled,0.6485571861
Costa Rica,2002,Male,15+,Percent,Modeled,0.7159152031
Costa Rica,2002,Male,25+,Percent,Modeled,0.7330392599
Costa Rica,2002,Total,15 - 24,Percent,Modeled,0.4964163601
Costa Rica,2002,Total,15+,Percent,Modeled,0.6144128442
Costa Rica,2002,Total,25+,Percent,Modeled,0.6445089579
Costa Rica,2001,Female,15 - 24,Percent,Modeled,0.2096527219
Costa Rica,2001,Female,15+,Percent,Modeled,0.4235683978
Costa Rica,2001,Male,15 - 24,Percent,Modeled,0.6758068204
Costa Rica,2001,Male,15+,Percent,Modeled,0.7503455281
Costa Rica,2001,Male,25+,Percent,Modeled,0.7692970037
Costa Rica,2001,Total,15 - 24,Percent,Modeled,0.5155094862
Costa Rica,2001,Total,25+,Percent,Modeled,0.6731343269
Costa Rica,2001,Total,15+,Percent,Modeled,0.6407661438
Costa Rica,2001,Female,25+,Percent,Modeled,0.4806304276
Costa Rica,2000,Total,25+,Percent,Modeled,0.6443489194
Costa Rica,2000,Total,15+,Percent,Modeled,0.6244160533
Costa Rica,2000,Male,15 - 24,Percent,Modeled,0.7213713527
Costa Rica,2000,Female,25+,Percent,Modeled,0.3949813545
Costa Rica,2000,Female,15 - 24,Percent,Modeled,0.1968602836
Costa Rica,2000,Female,15+,Percent,Modeled,0.3500544131
Costa Rica,2000,Male,15+,Percent,Modeled,0.7464612722
Costa Rica,2000,Male,25+,Percent,Modeled,0.7532172203
Costa Rica,2000,Total,15 - 24,Percent,Modeled,0.5523418784
Côte d'Ivoire,2008,Female,15 - 24,Percent,Modeled,34.3780975342
Côte d'Ivoire,2008,Female,15+,Percent,Modeled,36.1968345642
Côte d'Ivoire,2008,Female,25+,Percent,Modeled,36.832359314
Côte d'Ivoire,2008,Male,15 - 24,Percent,Modeled,39.713973999
Côte d'Ivoire,2008,Male,15+,Percent,Modeled,30.9356689453
Côte d'Ivoire,2008,Male,25+,Percent,Modeled,28.0945720673
Côte d'Ivoire,2008,Total,15 - 24,Percent,Modeled,37.7084770203
Côte d'Ivoire,2008,Total,15+,Percent,Modeled,32.8428153992
Côte d'Ivoire,2008,Total,25+,Percent,Modeled,31.2231273651
Côte d'Ivoire,2002,Female,15 - 24,Percent,Estimated,24.0008163452
Côte d'Ivoire,2002,Female,15+,Percent,Estimated,25.208568573
Côte d'Ivoire,2002,Female,25+,Percent,Estimated,25.6575737
Côte d'Ivoire,2002,Male,15 - 24,Percent,Estimated,28.3676261902
Côte d'Ivoire,2002,Total,15 - 24,Percent,Estimated,26.7310886383
Côte d'Ivoire,2002,Total,15+,Percent,Estimated,22.7310562134
Côte d'Ivoire,2002,Total,25+,Percent,Estimated,21.3933181763
Côte d'Ivoire,2002,Male,25+,Percent,Estimated,19.2245521545
Côte d'Ivoire,2002,Male,15+,Percent,Estimated,21.4170608521
Cuba,2005,Female,15 - 24,Percent,Modeled,1.8963005543
Cuba,2005,Female,15+,Percent,Modeled,1.6338503361
Cuba,2005,Female,25+,Percent,Modeled,1.6007717848
Cuba,2005,Male,15 - 24,Percent,Modeled,2.6799366474
Cuba,2005,Male,25+,Percent,Modeled,2.3145134449
Cuba,2005,Total,15 - 24,Percent,Modeled,2.3828985691
Cuba,2005,Total,15+,Percent,Modeled,2.0929563046
Cuba,2005,Total,25+,Percent,Modeled,2.0583562851
Cuba,2005,Male,15+,Percent,Modeled,2.3523738384
Democratic People's Republic of Korea,2005,Female,15 - 24,Percent,Modeled,67.8175354004
Democratic People's Republic of Korea,2005,Female,15+,Percent,Modeled,64.6217727661
Democratic People's Republic of Korea,2005,Male,15 - 24,Percent,Modeled,66.599357605
Democratic People's Republic of Korea,2005,Male,25+,Percent,Modeled,62.2120018005
Democratic People's Republic of Korea,2005,Total,25+,Percent,Modeled,62.9824104309
Democratic People's Republic of Korea,2005,Total,15+,Percent,Modeled,63.7834892273
Democratic People's Republic of Korea,2005,Total,15 - 24,Percent,Modeled,67.1961669922
Democratic People's Republic of Korea,2005,Male,15+,Percent,Modeled,63.023273468
Democratic People's Republic of Korea,2005,Female,25+,Percent,Modeled,63.8434753418
Democratic Republic of the Congo,2012,Female,15 - 24,Percent,Modeled,75.3609924316
Democratic Republic of the Congo,2012,Female,15+,Percent,Modeled,74.5266113281
Democratic Republic of the Congo,2012,Female,25+,Percent,Modeled,74.2573394775
Democratic Republic of the Congo,2012,Male,15 - 24,Percent,Modeled,74.7477493286
Democratic Republic of the Congo,2012,Male,15+,Percent,Modeled,70.7713699341
Democratic Republic of the Congo,2012,Male,25+,Percent,Modeled,69.796081543
Democratic Republic of the Congo,2012,Total,15 - 24,Percent,Modeled,75.0858840942
Democratic Republic of the Congo,2012,Total,15+,Percent,Modeled,72.6416702271
Democratic Republic of the Congo,2012,Total,25+,Percent,Modeled,71.9507598877
Democratic Republic of the Congo,2005,Female,15 - 24,Percent,Modeled,83.4124526978
Democratic Republic of the Congo,2005,Female,15+,Percent,Modeled,82.8292236328
Democratic Republic of the Congo,2005,Female,25+,Percent,Modeled,82.6399993896
Democratic Republic of the Congo,2005,Male,15 - 24,Percent,Modeled,82.1775817871
Democratic Republic of the Congo,2005,Male,15+,Percent,Modeled,79.2730407715
Democratic Republic of the Congo,2005,Male,25+,Percent,Modeled,78.5411682129
Democratic Republic of the Congo,2005,Total,15 - 24,Percent,Modeled,82.8521499634
Democratic Republic of the Congo,2005,Total,15+,Percent,Modeled,81.0414276123
Democratic Republic of the Congo,2005,Total,25+,Percent,Modeled,80.5217590332
Dominican Republic,2013,Male,25+,Percent,Modeled,3.2578225136
Dominican Republic,2013,Female,25+,Percent,Modeled,2.832545042
Dominican Republic,2013,Female,15 - 24,Percent,Modeled,1.5369651318
Dominican Republic,2013,Female,15+,Percent,Modeled,2.653699398
Dominican Republic,2013,Male,15 - 24,Percent,Modeled,3.6572272778
Dominican Republic,2013,Male,15+,Percent,Modeled,3.3279750347
Dominican Republic,2013,Total,15 - 24,Percent,Modeled,3.0000870228
Dominican Republic,2013,Total,15+,Percent,Modeled,3.082773447
Dominican Republic,2013,Total,25+,Percent,Modeled,3.0987546444
Dominican Republic,2012,Male,15 - 24,Percent,Modeled,3.7727768421
Dominican Republic,2012,Male,15+,Percent,Modeled,3.4465069771
Dominican Republic,2012,Total,15 - 24,Percent,Modeled,3.1001288891
Dominican Republic,2012,Total,25+,Percent,Modeled,3.1887054443
Dominican Republic,2012,Total,15+,Percent,Modeled,3.1736698151
Dominican Republic,2012,Male,25+,Percent,Modeled,3.3755071163
Dominican Republic,2012,Female,25+,Percent,Modeled,2.8720459938
Dominican Republic,2012,Female,15+,Percent,Modeled,2.697286129
Dominican Republic,2012,Female,15 - 24,Percent,Modeled,1.7377638817
Dominican Republic,2011,Total,15+,Percent,Modeled,3.2941226959
Dominican Republic,2011,Male,25+,Percent,Modeled,3.4843709469
Dominican Republic,2011,Female,15+,Percent,Modeled,2.7996656895
