"Country or Area","Year(s)","Variant","Value"
"Central America","2020","Constant-fertility scenario","74.069"
"Central America","2020","High variant","74.069"
"Central America","2020","Low variant","74.069"
"Central America","2020","Medium variant","74.069"
"Central America","2015","Constant-fertility scenario","72.512"
"Central America","2015","High variant","72.512"
"Central America","2015","Low variant","72.512"
"Central America","2015","Medium variant","72.512"
"Central America","2010","Constant-fertility scenario","71.003"
"Central America","2010","High variant","71.003"
"Central America","2010","Low variant","71.003"
"Central America","2010","Medium variant","71.003"
"Central America","2005","Medium variant","69.562"
"Central America","2000","Medium variant","68.196"
"Central America","1995","Estimate variant","66.924"
"Central America","1990","Estimate variant","65.732"
"Central America","1985","Estimate variant","63.192"
"Central America","1980","Estimate variant","60.374"
"Central America","1975","Estimate variant","57.202"
"Central America","1970","Estimate variant","53.831"
"Central America","1965","Estimate variant","50.184"
"Central America","1960","Estimate variant","46.59"
"Central America","1955","Estimate variant","43.136"
"Central America","1950","Estimate variant","39.755"
"Chad","2030","Constant-fertility scenario","40.783"
"Chad","2030","High variant","40.783"
"Chad","2030","Low variant","40.783"
"Chad","2030","Medium variant","40.783"
"Chad","2025","Constant-fertility scenario","37.466"
"Chad","2025","High variant","37.466"
"Chad","2025","Low variant","37.466"
"Chad","2025","Medium variant","37.466"
"Chad","2020","Constant-fertility scenario","34.166"
"Chad","2020","High variant","34.166"
"Chad","2020","Low variant","34.166"
"Chad","2020","Medium variant","34.166"
"Chad","2015","Constant-fertility scenario","30.922"
"Chad","2015","High variant","30.922"
"Chad","2015","Low variant","30.922"
"Chad","2015","Medium variant","30.922"
"Chad","2010","Constant-fertility scenario","28.111"
"Chad","2010","High variant","28.111"
"Chad","2010","Low variant","28.111"
"Chad","2010","Medium variant","28.111"
"Chad","2005","Medium variant","25.738"
"Chad","2000","Medium variant","23.787"
"Chad","1995","Estimate variant","22.234"
"Chad","1990","Estimate variant","21.05"
"Chad","1985","Estimate variant","19.914"
"Chad","1980","Estimate variant","18.823"
"Chad","1975","Estimate variant","15.568"
"Chad","1970","Estimate variant","11.789"
"Chad","1965","Estimate variant","8.998"
"Chad","1960","Estimate variant","6.817"
"Chad","1955","Estimate variant","5.135"
"Chad","1950","Estimate variant","3.851"
"Channel Islands","2030","Constant-fertility scenario","40.773"
"Channel Islands","2030","High variant","40.773"
"Channel Islands","2030","Low variant","40.773"
"Channel Islands","2030","Medium variant","40.773"
"Channel Islands","2025","Constant-fertility scenario","37.456"
"Channel Islands","2025","High variant","37.456"
"Channel Islands","2025","Low variant","37.456"
"Channel Islands","2025","Medium variant","37.456"
"Channel Islands","2020","Constant-fertility scenario","34.156"
"Channel Islands","2020","High variant","34.156"
"Channel Islands","2020","Low variant","34.156"
"Channel Islands","2020","Medium variant","34.156"
"Channel Islands","2015","Constant-fertility scenario","31.682"
"Channel Islands","2015","High variant","31.682"
"Channel Islands","2015","Low variant","31.682"
"Channel Islands","2015","Medium variant","31.682"
"Channel Islands","2010","Constant-fertility scenario","30.005"
"Channel Islands","2010","High variant","30.005"
"Channel Islands","2010","Low variant","30.005"
"Channel Islands","2010","Medium variant","30.005"
"Channel Islands","2005","Medium variant","29.092"
"Channel Islands","2000","Medium variant","28.918"
"Channel Islands","1995","Estimate variant","29.477"
"Channel Islands","1990","Estimate variant","30.043"
"Channel Islands","1985","Estimate variant","30.764"
"Channel Islands","1980","Estimate variant","32.11"
"Channel Islands","1975","Estimate variant","33.507"
"Channel Islands","1970","Estimate variant","34.987"
"Channel Islands","1965","Estimate variant","36.774"
"Channel Islands","1960","Estimate variant","38.617"
"Channel Islands","1955","Estimate variant","40.599"
"Channel Islands","1950","Estimate variant","42.611"
"Chile","2030","Constant-fertility scenario","91.067"
"Chile","2030","High variant","91.067"
"Chile","2030","Low variant","91.067"
"Chile","2030","Medium variant","91.067"
"Chile","2025","Constant-fertility scenario","90.479"
"Chile","2025","High variant","90.479"
"Chile","2025","Low variant","90.479"
"Chile","2025","Medium variant","90.479"
"Chile","2020","Constant-fertility scenario","89.848"
"Chile","2020","High variant","89.848"
"Chile","2020","Low variant","89.848"
"Chile","2020","Medium variant","89.848"
"Chile","2015","Constant-fertility scenario","89.082"
"Chile","2015","High variant","89.082"
"Chile","2015","Low variant","89.082"
"Chile","2015","Medium variant","89.082"
"Chile","2010","Constant-fertility scenario","88.163"
"Chile","2010","High variant","88.163"
"Chile","2010","Low variant","88.163"
"Chile","2010","Medium variant","88.163"
"Chile","2005","Medium variant","87.071"
"Chile","2000","Medium variant","85.786"
"Chile","1995","Estimate variant","84.373"
"Chile","1990","Estimate variant","83.271"
"Chile","1985","Estimate variant","82.624"
"Chile","1980","Estimate variant","81.243"
"Chile","1975","Estimate variant","78.387"
"Chile","1970","Estimate variant","75.228"
"Chile","1965","Estimate variant","71.697"
"Chile","1960","Estimate variant","67.836"
"Chile","1955","Estimate variant","63.257"
"Chile","1950","Estimate variant","58.425"
"China","2030","Constant-fertility scenario","59.505"
"China","2030","High variant","59.505"
"China","2030","Low variant","59.505"
"China","2030","Medium variant","59.505"
"China","2025","Constant-fertility scenario","56.724"
"China","2025","High variant","56.724"
"China","2025","Low variant","56.724"
"China","2025","Medium variant","56.724"
"China","2020","Constant-fertility scenario","53.376"
"China","2020","High variant","53.376"
"China","2020","Low variant","53.376"
"China","2020","Medium variant","53.376"
"China","2015","Constant-fertility scenario","49.501"
"China","2015","High variant","49.501"
"China","2015","Low variant","49.501"
"China","2015","Medium variant","49.501"
"China","2010","Constant-fertility scenario","45.187"
"China","2010","High variant","45.187"
"China","2010","Low variant","45.187"
"China","2010","Medium variant","45.187"
"China","2005","Medium variant","40.561"
"China","2000","Medium variant","35.788"
"China","1995","Estimate variant","31.356"
"China","1990","Estimate variant","27.401"
"China","1985","Estimate variant","22.995"
"China","1980","Estimate variant","19.644"
"China","1975","Estimate variant","17.401"
"China","1970","Estimate variant","17.4"
"China","1965","Estimate variant","17.566"
"China","1960","Estimate variant","16.008"
"China","1955","Estimate variant","14.182"
"China","1950","Estimate variant","12.533"
"China, Hong Kong SAR","2030","Constant-fertility scenario","100"
"China, Hong Kong SAR","2030","High variant","100"
"China, Hong Kong SAR","2030","Low variant","100"
"China, Hong Kong SAR","2030","Medium variant","100"
"China, Hong Kong SAR","2025","Constant-fertility scenario","100"
"China, Hong Kong SAR","2025","High variant","100"
"China, Hong Kong SAR","2025","Low variant","100"
"China, Hong Kong SAR","2025","Medium variant","100"
"China, Hong Kong SAR","2020","Constant-fertility scenario","100"
"China, Hong Kong SAR","2020","High variant","100"
"China, Hong Kong SAR","2020","Low variant","100"
"China, Hong Kong SAR","2020","Medium variant","100"
"China, Hong Kong SAR","2015","Constant-fertility scenario","100"
"China, Hong Kong SAR","2015","High variant","100"
"China, Hong Kong SAR","2015","Low variant","100"
"China, Hong Kong SAR","2015","Medium variant","100"
"China, Hong Kong SAR","2010","Constant-fertility scenario","100"
"China, Hong Kong SAR","2010","High variant","100"
"China, Hong Kong SAR","2010","Low variant","100"
"China, Hong Kong SAR","2010","Medium variant","100"
"China, Hong Kong SAR","2005","Medium variant","100"
"China, Hong Kong SAR","2000","Medium variant","100"
"China, Hong Kong SAR","1995","Estimate variant","100"
"China, Hong Kong SAR","1990","Estimate variant","99.931"
"China, Hong Kong SAR","1985","Estimate variant","92.92"
"China, Hong Kong SAR","1980","Estimate variant","91.478"
"China, Hong Kong SAR","1975","Estimate variant","89.696"
"China, Hong Kong SAR","1970","Estimate variant","87.729"
"China, Hong Kong SAR","1965","Estimate variant","86.422"
"China, Hong Kong SAR","1960","Estimate variant","85.039"
"China, Hong Kong SAR","1955","Estimate variant","83.81"
"China, Hong Kong SAR","1950","Estimate variant","82.5"
"China, Macao SAR","2030","Constant-fertility scenario","99.19"
"China, Macao SAR","2030","High variant","99.19"
"China, Macao SAR","2030","Low variant","99.19"
"China, Macao SAR","2030","Medium variant","99.19"
"China, Macao SAR","2025","Constant-fertility scenario","99.141"
"China, Macao SAR","2025","High variant","99.141"
"China, Macao SAR","2025","Low variant","99.141"
"China, Macao SAR","2025","Medium variant","99.141"
"China, Macao SAR","2020","Constant-fertility scenario","99.089"
"China, Macao SAR","2020","High variant","99.089"
"China, Macao SAR","2020","Low variant","99.089"
"China, Macao SAR","2020","Medium variant","99.089"
"China, Macao SAR","2015","Constant-fertility scenario","99.034"
"China, Macao SAR","2015","High variant","99.034"
"China, Macao SAR","2015","Low variant","99.034"
"China, Macao SAR","2015","Medium variant","99.034"
"China, Macao SAR","2010","Constant-fertility scenario","98.976"
"China, Macao SAR","2010","High variant","98.976"
"China, Macao SAR","2010","Low variant","98.976"
"China, Macao SAR","2010","Medium variant","98.976"
"China, Macao SAR","2005","Medium variant","98.914"
"China, Macao SAR","2000","Medium variant","98.848"
"China, Macao SAR","1995","Estimate variant","98.778"
"China, Macao SAR","1990","Estimate variant","98.651"
"China, Macao SAR","1985","Estimate variant","98.451"
"China, Macao SAR","1980","Estimate variant","98.149"
"China, Macao SAR","1975","Estimate variant","97.7"
"China, Macao SAR","1970","Estimate variant","97.032"
"China, Macao SAR","1965","Estimate variant","96.178"
"China, Macao SAR","1960","Estimate variant","95.289"
"China, Macao SAR","1955","Estimate variant","96.169"
"China, Macao SAR","1950","Estimate variant","96.89"
"Colombia","2030","Constant-fertility scenario","84.909"
"Colombia","2030","High variant","84.909"
"Colombia","2030","Low variant","84.909"
"Colombia","2030","Medium variant","84.909"
"Colombia","2025","Constant-fertility scenario","83.869"
"Colombia","2025","High variant","83.869"
"Colombia","2025","Low variant","83.869"
"Colombia","2025","Medium variant","83.869"
"Colombia","2020","Constant-fertility scenario","82.752"
"Colombia","2020","High variant","82.752"
"Colombia","2020","Low variant","82.752"
"Colombia","2020","Medium variant","82.752"
"Colombia","2015","Constant-fertility scenario","81.34"
"Colombia","2015","High variant","81.34"
"Colombia","2015","Low variant","81.34"
"Colombia","2015","Medium variant","81.34"
"Colombia","2010","Constant-fertility scenario","79.596"
"Colombia","2010","High variant","79.596"
"Colombia","2010","Low variant","79.596"
"Colombia","2010","Medium variant","79.596"
"Colombia","2005","Medium variant","77.484"
"Colombia","2000","Medium variant","74.971"
"Colombia","1995","Estimate variant","72.036"
"Colombia","1990","Estimate variant","68.713"
"Colombia","1985","Estimate variant","65.156"
"Colombia","1980","Estimate variant","62.612"
"Colombia","1975","Estimate variant","59.996"
"Colombia","1970","Estimate variant","56.592"
"Colombia","1965","Estimate variant","52.746"
"Colombia","1960","Estimate variant","49.137"
"Colombia","1955","Estimate variant","45.601"
"Colombia","1950","Estimate variant","42.109"
"Comoros","2030","Constant-fertility scenario","52.192"
"Comoros","2030","High variant","52.192"
"Comoros","2030","Low variant","52.192"
"Comoros","2030","Medium variant","52.192"
"Comoros","2025","Constant-fertility scenario","49.088"
"Comoros","2025","High variant","49.088"
"Comoros","2025","Low variant","49.088"
"Comoros","2025","Medium variant","49.088"
"Comoros","2020","Constant-fertility scenario","45.888"
"Comoros","2020","High variant","45.888"
"Comoros","2020","Low variant","45.888"
"Comoros","2020","Medium variant","45.888"
"Comoros","2015","Constant-fertility scenario","42.618"
"Comoros","2015","High variant","42.618"
"Comoros","2015","Low variant","42.618"
"Comoros","2015","Medium variant","42.618"
"Comoros","2010","Constant-fertility scenario","39.373"
"Comoros","2010","High variant","39.373"
"Comoros","2010","Low variant","39.373"
"Comoros","2010","Medium variant","39.373"
"Comoros","2005","Medium variant","36.225"
"Comoros","2000","Medium variant","33.234"
"Comoros","1995","Estimate variant","30.447"
"Comoros","1990","Estimate variant","27.897"
"Comoros","1985","Estimate variant","25.482"
"Comoros","1980","Estimate variant","23.216"
"Comoros","1975","Estimate variant","21.24"
"Comoros","1970","Estimate variant","19.39"
"Comoros","1965","Estimate variant","16.375"
"Comoros","1960","Estimate variant","9.952"
"Comoros","1955","Estimate variant","5.871"
"Comoros","1950","Estimate variant","3.401"
"Congo","2030","Constant-fertility scenario","77.667"
"Congo","2030","High variant","77.667"
"Congo","2030","Low variant","77.667"
"Congo","2030","Medium variant","77.667"
"Congo","2025","Constant-fertility scenario","76.085"
"Congo","2025","High variant","76.085"
"Congo","2025","Low variant","76.085"
"Congo","2025","Medium variant","76.085"
"Congo","2020","Constant-fertility scenario","74.385"
"Congo","2020","High variant","74.385"
"Congo","2020","Low variant","74.385"
"Congo","2020","Medium variant","74.385"
"Congo","2015","Constant-fertility scenario","72.56"
"Congo","2015","High variant","72.56"
"Congo","2015","Low variant","72.56"
"Congo","2015","Medium variant","72.56"
"Congo","2010","Constant-fertility scenario","70.604"
"Congo","2010","High variant","70.604"
"Congo","2010","Low variant","70.604"
"Congo","2010","Medium variant","70.604"
"Congo","2005","Medium variant","68.51"
"Congo","2000","Medium variant","65.388"
"Congo","1995","Estimate variant","61.146"
"Congo","1990","Estimate variant","55.746"
"Congo","1985","Estimate variant","49.272"
"Congo","1980","Estimate variant","41.992"
"Congo","1975","Estimate variant","35.045"
"Congo","1970","Estimate variant","32.842"
"Congo","1965","Estimate variant","32.349"
"Congo","1960","Estimate variant","31.859"
"Congo","1955","Estimate variant","31.374"
"Congo","1950","Estimate variant","30.892"
"Cook Islands","2030","Constant-fertility scenario","69.229"
"Cook Islands","2030","High variant","69.229"
"Cook Islands","2030","Low variant","69.229"
"Cook Islands","2030","Medium variant","69.229"
"Cook Islands","2025","Constant-fertility scenario","67.04"
"Cook Islands","2025","High variant","67.04"
"Cook Islands","2025","Low variant","67.04"
"Cook Islands","2025","Medium variant","67.04"
"Cook Islands","2020","Constant-fertility scenario","64.705"
"Cook Islands","2020","High variant","64.705"
"Cook Islands","2020","Low variant","64.705"
"Cook Islands","2020","Medium variant","64.705"
"Cook Islands","2015","Constant-fertility scenario","62.676"
"Cook Islands","2015","High variant","62.676"
"Cook Islands","2015","Low variant","62.676"
"Cook Islands","2015","Medium variant","62.676"
"Cook Islands","2010","Constant-fertility scenario","61.023"
"Cook Islands","2010","High variant","61.023"
"Cook Islands","2010","Low variant","61.023"
"Cook Islands","2010","Medium variant","61.023"
"Cook Islands","2005","Medium variant","59.792"
"Cook Islands","2000","Medium variant","59.015"
"Cook Islands","1995","Estimate variant","58.717"
"Cook Islands","1990","Estimate variant","57.74"
"Cook Islands","1985","Estimate variant","55.568"
"Cook Islands","1980","Estimate variant","54.757"
"Cook Islands","1975","Estimate variant","54.038"
"Cook Islands","1970","Estimate variant","53.387"
"Cook Islands","1965","Estimate variant","51.316"
"Cook Islands","1960","Estimate variant","49.239"
"Cook Islands","1955","Estimate variant","47.163"
"Cook Islands","1950","Estimate variant","45.098"
"Costa Rica","2030","Constant-fertility scenario","72.805"
"Costa Rica","2030","High variant","72.805"
"Costa Rica","2030","Low variant","72.805"
"Costa Rica","2030","Medium variant","72.805"
"Costa Rica","2025","Constant-fertility scenario","70.866"
"Costa Rica","2025","High variant","70.866"
"Costa Rica","2025","Low variant","70.866"
"Costa Rica","2025","Medium variant","70.866"
"Costa Rica","2020","Constant-fertility scenario","68.791"
"Costa Rica","2020","High variant","68.791"
"Costa Rica","2020","Low variant","68.791"
"Costa Rica","2020","Medium variant","68.791"
"Costa Rica","2015","Constant-fertility scenario","66.541"
"Costa Rica","2015","High variant","66.541"
"Costa Rica","2015","Low variant","66.541"
"Costa Rica","2015","Medium variant","66.541"
"Costa Rica","2010","Constant-fertility scenario","64.138"
"Costa Rica","2010","High variant","64.138"
"Costa Rica","2010","Low variant","64.138"
"Costa Rica","2010","Medium variant","64.138"
"Costa Rica","2005","Medium variant","61.613"
"Costa Rica","2000","Medium variant","59.005"
"Costa Rica","1995","Estimate variant","56.36"
"Costa Rica","1990","Estimate variant","53.678"
"Costa Rica","1985","Estimate variant","50.974"
"Costa Rica","1980","Estimate variant","46.876"
"Costa Rica","1975","Estimate variant","42.454"
"Costa Rica","1970","Estimate variant","38.832"
"Costa Rica","1965","Estimate variant","35.821"
"Costa Rica","1960","Estimate variant","34.285"
"Costa Rica","1955","Estimate variant","33.896"
"Costa Rica","1950","Estimate variant","33.509"
"Côte d'Ivoire","2030","Constant-fertility scenario","59.408"
"Côte d'Ivoire","2030","High variant","59.408"
"Côte d'Ivoire","2030","Low variant","59.408"
"Côte d'Ivoire","2030","Medium variant","59.408"
"Côte d'Ivoire","2025","Constant-fertility scenario","56.622"
"Côte d'Ivoire","2025","High variant","56.622"
"Côte d'Ivoire","2025","Low variant","56.622"
"Côte d'Ivoire","2025","Medium variant","56.622"
"Côte d'Ivoire","2020","Constant-fertility scenario","53.699"
"Côte d'Ivoire","2020","High variant","53.699"
"Côte d'Ivoire","2020","Low variant","53.699"
"Côte d'Ivoire","2020","Medium variant","53.699"
"Côte d'Ivoire","2015","Constant-fertility scenario","50.882"
"Côte d'Ivoire","2015","High variant","50.882"
"Côte d'Ivoire","2015","Low variant","50.882"
"Côte d'Ivoire","2015","Medium variant","50.882"
"Côte d'Ivoire","2010","Constant-fertility scenario","48.229"
"Côte d'Ivoire","2010","High variant","48.229"
"Côte d'Ivoire","2010","Low variant","48.229"
"Côte d'Ivoire","2010","Medium variant","48.229"
"Côte d'Ivoire","2005","Medium variant","45.792"
"Côte d'Ivoire","2000","Medium variant","43.612"
"Côte d'Ivoire","1995","Estimate variant","41.719"
"Côte d'Ivoire","1990","Estimate variant","39.849"
"Côte d'Ivoire","1985","Estimate variant","37.481"
"Côte d'Ivoire","1980","Estimate variant","34.736"
"Côte d'Ivoire","1975","Estimate variant","32.089"
"Côte d'Ivoire","1970","Estimate variant","27.405"
"Côte d'Ivoire","1965","Estimate variant","23.106"
"Côte d'Ivoire","1960","Estimate variant","19.301"
"Côte d'Ivoire","1955","Estimate variant","15.993"
"Côte d'Ivoire","1950","Estimate variant","13.159"
"Croatia","2030","Constant-fertility scenario","71.025"
"Croatia","2030","High variant","71.025"
"Croatia","2030","Low variant","71.025"
"Croatia","2030","Medium variant","71.025"
"Croatia","2025","Constant-fertility scenario","68.961"
"Croatia","2025","High variant","68.961"
"Croatia","2025","Low variant","68.961"
"Croatia","2025","Medium variant","68.961"
"Croatia","2020","Constant-fertility scenario","66.754"
"Croatia","2020","High variant","66.754"
"Croatia","2020","Low variant","66.754"
"Croatia","2020","Medium variant","66.754"
"Croatia","2015","Constant-fertility scenario","64.401"
"Croatia","2015","High variant","64.401"
"Croatia","2015","Low variant","64.401"
"Croatia","2015","Medium variant","64.401"
"Croatia","2010","Constant-fertility scenario","62.08"
"Croatia","2010","High variant","62.08"
"Croatia","2010","Low variant","62.08"
"Croatia","2010","Medium variant","62.08"
"Croatia","2005","Medium variant","59.838"
"Croatia","2000","Medium variant","57.723"
"Croatia","1995","Estimate variant","55.778"
"Croatia","1990","Estimate variant","54.04"
"Croatia","1985","Estimate variant","52.292"
"Croatia","1980","Estimate variant","50.061"
"Croatia","1975","Estimate variant","45.127"
"Croatia","1970","Estimate variant","40.198"
"Croatia","1965","Estimate variant","34.979"
"Croatia","1960","Estimate variant","30.154"
"Croatia","1955","Estimate variant","26.033"
"Croatia","1950","Estimate variant","22.296"
"Cuba","2030","Constant-fertility scenario","82.287"
"Cuba","2030","High variant","82.287"
"Cuba","2030","Low variant","82.287"
"Cuba","2030","Medium variant","82.287"
"Cuba","2025","Constant-fertility scenario","81.051"
"Cuba","2025","High variant","81.051"
"Cuba","2025","Low variant","81.051"
"Cuba","2025","Medium variant","81.051"
"Cuba","2020","Constant-fertility scenario","79.722"
"Cuba","2020","High variant","79.722"
"Cuba","2020","Low variant","79.722"
"Cuba","2020","Medium variant","79.722"
"Cuba","2015","Constant-fertility scenario","78.455"
"Cuba","2015","High variant","78.455"
"Cuba","2015","Low variant","78.455"
"Cuba","2015","Medium variant","78.455"
"Cuba","2010","Constant-fertility scenario","77.279"
"Cuba","2010","High variant","77.279"
"Cuba","2010","Low variant","77.279"
"Cuba","2010","Medium variant","77.279"
"Cuba","2005","Medium variant","76.224"
"Cuba","2000","Medium variant","75.316"
"Cuba","1995","Estimate variant","74.577"
"Cuba","1990","Estimate variant","73.65"
"Cuba","1985","Estimate variant","71.065"
"Cuba","1980","Estimate variant","68.106"
"Cuba","1975","Estimate variant","64.225"
"Cuba","1970","Estimate variant","60.205"
"Cuba","1965","Estimate variant","57.551"
"Cuba","1960","Estimate variant","54.854"
"Cuba","1955","Estimate variant","52.127"
"Cuba","1950","Estimate variant","49.388"
"Cyprus","2030","Constant-fertility scenario","79.267"
"Cyprus","2030","High variant","79.267"
"Cyprus","2030","Low variant","79.267"
"Cyprus","2030","Medium variant","79.267"
"Cyprus","2025","Constant-fertility scenario","77.804"
"Cyprus","2025","High variant","77.804"
"Cyprus","2025","Low variant","77.804"
"Cyprus","2025","Medium variant","77.804"
"Cyprus","2020","Constant-fertility scenario","76.232"
"Cyprus","2020","High variant","76.232"
"Cyprus","2020","Low variant","76.232"
"Cyprus","2020","Medium variant","76.232"
"Cyprus","2015","Constant-fertility scenario","74.634"
"Cyprus","2015","High variant","74.634"
"Cyprus","2015","Low variant","74.634"
"Cyprus","2015","Medium variant","74.634"
"Cyprus","2010","Constant-fertility scenario","73.035"
"Cyprus","2010","High variant","73.035"
"Cyprus","2010","Low variant","73.035"
"Cyprus","2010","Medium variant","73.035"
"Cyprus","2005","Medium variant","71.462"
"Cyprus","2000","Medium variant","69.942"
"Cyprus","1995","Estimate variant","68.506"
"Cyprus","1990","Estimate variant","64.984"
"Cyprus","1985","Estimate variant","58.612"
"Cyprus","1980","Estimate variant","51.938"
"Cyprus","1975","Estimate variant","45.194"
"Cyprus","1970","Estimate variant","40.762"
"Cyprus","1965","Estimate variant","38.189"
"Cyprus","1960","Estimate variant","35.629"
"Cyprus","1955","Estimate variant","32.643"
"Cyprus","1950","Estimate variant","29.791"
"Czech Republic","2030","Constant-fertility scenario","80.462"
"Czech Republic","2030","High variant","80.462"
"Czech Republic","2030","Low variant","80.462"
"Czech Republic","2030","Medium variant","80.462"
"Czech Republic","2025","Constant-fertility scenario","79.089"
"Czech Republic","2025","High variant","79.089"
"Czech Republic","2025","Low variant","79.089"
"Czech Republic","2025","Medium variant","79.089"
"Czech Republic","2020","Constant-fertility scenario","77.612"
"Czech Republic","2020","High variant","77.612"
"Czech Republic","2020","Low variant","77.612"
"Czech Republic","2020","Medium variant","77.612"
"Czech Republic","2015","Constant-fertility scenario","76.371"
"Czech Republic","2015","High variant","76.371"
"Czech Republic","2015","Low variant","76.371"
"Czech Republic","2015","Medium variant","76.371"
"Czech Republic","2010","Constant-fertility scenario","75.414"
"Czech Republic","2010","High variant","75.414"
"Czech Republic","2010","Low variant","75.414"
"Czech Republic","2010","Medium variant","75.414"
"Czech Republic","2005","Medium variant","74.782"
"Czech Republic","2000","Medium variant","74.5"
"Czech Republic","1995","Estimate variant","74.579"
"Czech Republic","1990","Estimate variant","74.766"
"Czech Republic","1985","Estimate variant","74.991"
"Czech Republic","1980","Estimate variant","74.554"
"Czech Republic","1975","Estimate variant","63.694"
"Czech Republic","1970","Estimate variant","52.035"
"Czech Republic","1965","Estimate variant","48.853"
"Czech Republic","1960","Estimate variant","45.77"
"Czech Republic","1955","Estimate variant","43.3"
"Czech Republic","1950","Estimate variant","40.862"
"Dem. People's Republic of Korea","2030","Constant-fertility scenario","71.996"
"Dem. People's Republic of Korea","2030","High variant","71.996"
"Dem. People's Republic of Korea","2030","Low variant","71.996"
"Dem. People's Republic of Korea","2030","Medium variant","71.996"
"Dem. People's Republic of Korea","2025","Constant-fertility scenario","70"
"Dem. People's Republic of Korea","2025","High variant","70"
"Dem. People's Republic of Korea","2025","Low variant","70"
"Dem. People's Republic of Korea","2025","Medium variant","70"
"Dem. People's Republic of Korea","2020","Constant-fertility scenario","67.864"
"Dem. People's Republic of Korea","2020","High variant","67.864"
"Dem. People's Republic of Korea","2020","Low variant","67.864"
"Dem. People's Republic of Korea","2020","Medium variant","67.864"
"Dem. People's Republic of Korea","2015","Constant-fertility scenario","65.584"
"Dem. People's Republic of Korea","2015","High variant","65.584"
"Dem. People's Republic of Korea","2015","Low variant","65.584"
"Dem. People's Republic of Korea","2015","Medium variant","65.584"
"Dem. People's Republic of Korea","2010","Constant-fertility scenario","63.516"
"Dem. People's Republic of Korea","2010","High variant","63.516"
"Dem. People's Republic of Korea","2010","Low variant","63.516"
"Dem. People's Republic of Korea","2010","Medium variant","63.516"
"Dem. People's Republic of Korea","2005","Medium variant","61.718"
"Dem. People's Republic of Korea","2000","Medium variant","60.24"
"Dem. People's Republic of Korea","1995","Estimate variant","59.121"
"Dem. People's Republic of Korea","1990","Estimate variant","58.384"
"Dem. People's Republic of Korea","1985","Estimate variant","57.644"
"Dem. People's Republic of Korea","1980","Estimate variant","56.9"
"Dem. People's Republic of Korea","1975","Estimate variant","56.7"
"Dem. People's Republic of Korea","1970","Estimate variant","54.201"
"Dem. People's Republic of Korea","1965","Estimate variant","45.093"
"Dem. People's Republic of Korea","1960","Estimate variant","40.195"
"Dem. People's Republic of Korea","1955","Estimate variant","35.464"
"Dem. People's Republic of Korea","1950","Estimate variant","31.001"
"Democratic Republic of the Congo","2030","Constant-fertility scenario","49.056"
"Democratic Republic of the Congo","2030","High variant","49.056"
"Democratic Republic of the Congo","2030","Low variant","49.056"
"Democratic Republic of the Congo","2030","Medium variant","49.056"
"Democratic Republic of the Congo","2025","Constant-fertility scenario","45.856"
"Democratic Republic of the Congo","2025","High variant","45.856"
"Democratic Republic of the Congo","2025","Low variant","45.856"
"Democratic Republic of the Congo","2025","Medium variant","45.856"
"Democratic Republic of the Congo","2020","Constant-fertility scenario","42.584"
"Democratic Republic of the Congo","2020","High variant","42.584"
"Democratic Republic of the Congo","2020","Low variant","42.584"
"Democratic Republic of the Congo","2020","Medium variant","42.584"
"Democratic Republic of the Congo","2015","Constant-fertility scenario","39.274"
"Democratic Republic of the Congo","2015","High variant","39.274"
"Democratic Republic of the Congo","2015","Low variant","39.274"
"Democratic Republic of the Congo","2015","Medium variant","39.274"
"Democratic Republic of the Congo","2010","Constant-fertility scenario","35.96"
"Democratic Republic of the Congo","2010","High variant","35.96"
"Democratic Republic of the Congo","2010","Low variant","35.96"
"Democratic Republic of the Congo","2010","Medium variant","35.96"
"Democratic Republic of the Congo","2005","Medium variant","32.681"
"Democratic Republic of the Congo","2000","Medium variant","30.28"
"Democratic Republic of the Congo","1995","Estimate variant","28.715"
"Democratic Republic of the Congo","1990","Estimate variant","27.946"
"Democratic Republic of the Congo","1985","Estimate variant","27.946"
"Democratic Republic of the Congo","1980","Estimate variant","28.718"
"Democratic Republic of the Congo","1975","Estimate variant","29.503"
"Democratic Republic of the Congo","1970","Estimate variant","30.3"
"Democratic Republic of the Congo","1965","Estimate variant","26.104"
"Democratic Republic of the Congo","1960","Estimate variant","22.301"
"Democratic Republic of the Congo","1955","Estimate variant","20.655"
"Democratic Republic of the Congo","1950","Estimate variant","19.101"
"Denmark","2030","Constant-fertility scenario","87.764"
"Denmark","2030","High variant","87.764"
"Denmark","2030","Low variant","87.764"
"Denmark","2030","Medium variant","87.764"
"Denmark","2025","Constant-fertility scenario","86.937"
"Denmark","2025","High variant","86.937"
"Denmark","2025","Low variant","86.937"
"Denmark","2025","Medium variant","86.937"
"Denmark","2020","Constant-fertility scenario","86.232"
"Denmark","2020","High variant","86.232"
"Denmark","2020","Low variant","86.232"
"Denmark","2020","Medium variant","86.232"
"Denmark","2015","Constant-fertility scenario","85.677"
"Denmark","2015","High variant","85.677"
"Denmark","2015","Low variant","85.677"
"Denmark","2015","Medium variant","85.677"
"Denmark","2010","Constant-fertility scenario","85.295"
"Denmark","2010","High variant","85.295"
"Denmark","2010","Low variant","85.295"
"Denmark","2010","Medium variant","85.295"
"Denmark","2005","Medium variant","85.1"
"Denmark","2000","Medium variant","85.1"
"Denmark","1995","Estimate variant","85.073"
"Denmark","1990","Estimate variant","84.8"
