"Country or Area","Year","Value","Value Footnotes","Value Footnotes"
"93","National Source (http://dds.bps.go.id/eng/); Based on SUSENAS using GSO expenditure poverty line"
"94","National Source (http://dds.bps.go.id/eng/); Based on SUSENAS using GSO expenditure poverty line Susenas 2013."
"95","National source: Ministry of planing of Iraq. 
http://www.mop.gov.iq/mop/index.jsp?sid=3&nid=1306&y=2013&m=6&d=15&lng=en"
"96","World Bank, Iraq Poverty Assesment.  Official publication is not updated and contains outdated poverty numbers."
"97","National Source (www.pioj.gov.jm) Jamaica Survey of Living Conditions; Moderate Poverty Line (individuals)."
"98","Jordan Poverty Reduction Strategy. Final Report, 2013"
"99","The Emblem of the Republic of Kazakhstan	Logo of the Committee on Statistics	
Ministry of National Economy of the Republic of Kazakhstan
Committee on Statistics"
"100","Kazakhstan PA 2012 & official poverty tables published by the authority."
"101","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2008 - World Bank ECAPOV Standardized Datasets."
"102","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2007."
"103","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2006 - World Bank ECAPOV Standardized Datasets."
"104","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2005 - World Bank ECAPOV Standardized Datasets."
"105","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2004 - World Bank ECAPOV Standardized Datasets."
"106","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2003."
"107","Official poverty tables published by the authority. Household Budget Survey 2002 - World Bank ECAPOV Standardized Datasets."
"108","Kazakhstan PA 2012 & official poverty tables published by the authority. Household Budget Survey 2001 - World Bank ECAPOV Standardized Datasets."
"109","Kenya National Bureau of Statistics: Basic report on Well-being in Kenya. Not comparable with prior series."
"110","National Statistical Committee."
"111","National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2008-2012."
"112","National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2006-2010. Kyrgyz Integrated Household Survey 2009 - World Bank ECAPOV Standardized Datasets"
"113","National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2006-2010. Kyrgyz Integrated Household Survey 2008 - World Bank ECAPOV Standardized Datasets"
"114","National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2006-2010. Kyrgyz Integrated Household Survey 2007 - World Bank ECAPOV Standardized Datasets"
"115","National Statistical Committee (2011) Living standards of the populaion in the Kyrgyz Republic 2006-2010. Kyrgyz Integrated Household Survey 2006 - World Bank ECAPOV Standardized Datasets"
"116","WB estimates based on Expenditure and Consumption Survey 2012-2013 (LECS V)."
"117","Poverty in Lao PDR 2008, Ministry of Planning  and Investment, Department of Statistics, 2010"
"118","World Bank: Poverty Assessment"
"119","World Bank: Sharing Growth by Reducing Inequality and Vulnerability: Choices for Change, A Poverty, Gender, and Social Assessment"
"120","World Bank: Sharing Growth by Reducing Inequality and Vulnerability: Choices for Change, A Poverty, Gender, and Social Assessment. Not comparable with prior series."
"121","The World Bank"
"122","Source: Madagascar Poverty, Gender and Inequality Assessment. Enquêtes Périodiques auprès des Ménages  (EPM). Comparable with the 2005 estimates."
"123","Source: Madagascar Poverty, Gender and Inequality Assessment. Enquêtes Périodiques auprès des Ménages (EPM). Comparable with the 2001 estimates."
"124","Madagascar
Poverty, Gender and Inequality Assessment"
"125","INTEGRATED HOUSEHOLD SURVEY 2010-2011: HOUSEHOLD SOCIO-ECONOMIC CHARACTERISCTICS REPORT. Comparable series since 1998."
"126","PMS policy brief No. 2 (revised) The state of Malawi’s poor: The incidence, depth, and severity of poverty. Not comparable with prior series."
"127","National Source: Household Income Survey 2012. Department of Statistics Malaysia. http://www.statistics.gov.my/portal/images/stories/files/LatestReleases/household/HIS_2012_Eng.pdf"
"128","National Source: Household Income Surveys (http://www.epu.gov.my/en/household-income-poverty)."
"129","POVERTY IN MALI IN THE 2000’s A SUCCESS STORY?"
"130","Profil de la Pauvrete en Mauritanie 2008. Comparable series since 2000."
"131","Profil de la Pauvrete en Mauritanie 2004. Comparable series since 2000."
"132","PROFIL DE LA PAUVRETE EN MAURITANIE - 2004"
"133","National Source (http://www.coneval.gob.mx/Medicion/Paginas/Evolucion-de-las-dimensiones-de-la-pobreza-1990-2010-.aspx) Encuesta Nacional de Ingresos y Gastos de los Hogares; Moderate Poverty Line (individuals)"
"134","National Source (www.coneval.gob.mx/Programas) Encuesta Nacional de Ingresos y Gastos de los Hogares; Moderate Poverty Line (individuals)"
"135","National source: Household Socio-economic Survey 2012, National Statistical Office of Mongolia (NSO). A comparable series of Mongolia&quot;s poverty 2010-2012 was announced by the NSO in May 2013, which replaced the poverty numbers for 2010 and 2011 published in 2012. The new series is not comparable with previously released series. The poverty headcount rates published by the NSO for years prior to 2010 were based on different poverty lines, and the earlier consumption aggregates do not include imputed value of free fuels."
"136","National source: Household Socio-economic Survey 2011, National Statistical Office of Mongolia (NSO). A comparable series of Mongolia&quot;s poverty 2010-2012 was announced by the NSO in May 2013, which replaced the poverty numbers for 2010 and 2011 published in 2012. The new series is not comparable with previously released series. The poverty headcount rates published by the NSO for years prior to 2010 were based on different poverty lines, and the earlier consumption aggregates do not include imputed value of free fuels."
"137","National source: Household Socio-economic Survey 2010, National Statistical Office of Mongolia (NSO). A comparable series of Mongolia&quot;s poverty 2010-2012 was announced by the NSO in May 2013, which replaced the poverty numbers for 2010 and 2011 published in 2012. The new series is not comparable with previously released series. The poverty headcount rates published by the NSO for years prior to 2010 were based on different poverty lines, and the earlier consumption aggregates do not include imputed value of free fuels."
"138","National source. http://www.monstat.org/userfiles/file/analiza%20siromastva/ENGLESKI-%20ANALIZA%20SIROMA%C5%A0TVA%20U%20CRNOJ%20GORI%20U%202012___.pdf; http://www.monstat.org/eng/page.php?id=73&pageid=73"
"139","National Source. POVERTY ANALYSIS IN MONTENEGRO IN 2011. www.monstat.org"
"140","National Source. POVERTY ANALYSIS IN MONTENEGRO IN 2010"
"141","National Source; Poverty Analysis in Montenegro in 2008, Dec 2009"
"142","National Source; Poverty Analysis in Montenegro in 2007, July 2009"
"143","Royaume du Maroc Haut-Commissariat au Plan. 
Dynamiques de la pauvreté au Maroc. 
(http://www.hcp.ma/file/111923/)"
"144","Royaume du Maroc Haut-Commissariat au Plan. 
Dynamiques de la pauvreté au Maroc. 
(http://www.hcp.ma/file/111923/) Enquete Nationale sur la Consommation et les Dépense des Ménages 2000-2001"
"145","Instituto Nacional de Estatística: Inquérito Sobre Orçamento Familiar, 2008/09. Comparable series since 1996."
"146","Poverty and Well-being in Mozambique – The Second National Assessment (2002-2003). Comparable series since 1996."
"147","Poverty and Wellbeing in Mozambique. Comparable series since 1996."
"148","Poverty Dynamics Report in Namibia: A comparative study using the 1993/04, 2003/04 and the 2009/10 NHIES surveys"
"149","National Source; Poverty in Nepal, Nepal Living Standards Survey (NLSS-III, 2010-11), Central Bureau of Statistics (CBS)."
"150","National Source (INIDE) Encuesta Nacional de Hogares sobre Medición de Nivel de Vida; Moderate Poverty Line (individuals)"
"151","National Bureau of Statistics. Comparable with the 2004 estimates."
"152","National Bureau of Statistics. Not comparable with prior series."
"153","National Source; Pakistan Economic Survey 2007-08 for Pakistan 1998-99 – 2005-06"
"154","Ministerio de Economía y Finanzas"
"155","Papua New Guinea Poverty Profile.
Based on the 2009/10 Household Income 
and Expenditure Survey
Draft Technical Report; June 2012"
"156","World Bank Source; staff estimates"
"157","National Source (www.dgeec.gov.py) Encuesta Permanente de Hogares; Moderate Poverty Line (individuals)"
"158","National Source (www.dgeec.gov.py) Encuesta Permanente de Hogares; Moderate Poverty Line (individuals). Preliminary figures."
"159","National Source (www.inei.gob.pe) Encuesta Nacional de Hogares 3; Moderate Poverty Line (individuals); Estimates based on new methodology since 2004; Not comparable with prior series"
"160","National Source (www.inei.gob.pe) Encuesta Nacional de Hogares 3; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards"
"161","National Source (www.inei.gob.pe) Encuesta Nacional de Hogares 2; Moderate Poverty Line (individuals); Not comparable with the estimates of 2004 and onwards"
"162","Information note - poverty in Moldova in 2013 (in Romanian)"
"163","Saracia Republica Moldova 2012."
"164","Moldova: The Consequences of Several Shocks for Consumption and Poverty, Report No.  49019-MD"
"165","National source; National Institute of Statistics of Rwanda; The evolution of poverty in Rwanda from 2000 to 2011. Comparable series since 2006."
"166","National Institute of Statistics of Rwanda. Comparable series since 2006."
"167","Source: Poverty assessment. Inquérito aos Orçamentos Familiares (IOF). Not comparable with prior series."
"168","Comparable series since 2001."
"169","World Bank: Data file (ESPS2005DEPENSES.dta). Comparable series since 2001."
"170","Household Budget Survey, 2006/2007"
"171","Source: Poverty assessment. Sierra Leone Integrated Household Survey (SLIHS). Comparable with the 2003 estimates."
"172","Source: Poverty assessment. Sierra Leone Integrated Household Survey (SLIHS). Not comparable with prior series."
"173","Poverty Trends in South Africa: An examination of absolute poverty between 2006 and 2011. Estimates are based on Income and Expenditure Survey (IES) 2010-2011."
"174","Poverty Trends in South Africa: An examination of absolute poverty between 2006 and 2011. Estimates are based on Income and Expenditure Survey (IES) 2005-2006."
"175","A Poverty Profile for the Southern States of Sudan"
"176","Poverty Headcount Ratio Brief: Decomposition of Consumption Poverty Department of Census and Statistics, April 29, 2014 Household Income and Expenditure Survey. The official statistics also include a headcount ratio for the estate sector, which consists mainly of tea plantations and is distinguished from the rural sector. The headcount ratio for the estate sector is 10.9%."
"177","National Source; Poverty Indicators - Household Income and Expenditure Survey 2009/10 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4696 (May 2011). The official statistics also include a headcount ratio for the estate sector, which consists mainly of tea plantations and is distinguished from the rural sector. The headcount ratio for the estate sector is 11.4%."
"178","National Source; Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008). The official statistics also include a headcount ratio for the estate sector, which consists mainly of tea plantations and is distinguished from the rural sector. The headcount ratio for the estate sector is 32%."
"179","National Source; Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008). The official statistics also include a headcount ratio for the estate sector, which consists mainly of tea plantations and is distinguished from the rural sector. The headcount ratio for the estate sector is 30%."
"180","National Source; Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008). The official statistics also include a headcount ratio for the estate sector, which consists mainly of tea plantations and is distinguished from the rural sector. The headcount ratio for the estate sector is 38.4%."
"181","National Source; Poverty Indicators - Household Income and Expenditure Survey 2006/07 by Department of Census and Statistics. Ministry of Finance and Planning. ISSN 1391-4695 (March 2008)"
"182","Palestinian Central Bureau of Statistics (2012). 
Living Standards in the Palestinian Territory Expenditure, Consumption, Poverty, 2011.
(http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/Book1899.pdf)"
"183","Palestinian Central Bureau of Statistics (2011). 
Poverty in The Palestinian Territory, Main Findings 2009-2010. (http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/book1789.pdf)"
"184","Palestinian Central Bureau of Statistics (2011). 
Poverty in The Palestinian Territory, Main Findings 2009-2010. (http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/book1789.pdf) Expenditure and Consumption Survey 2009"
"185","Palestinian Central Bureau of Statistics (2007). 
Poverty in The Palestinian Territory, Main Findings 2006. (http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/book1382.pdf)  Total poverty for the country is higher than in urban and rural areas because of Gaza strip which is a separate strata. This is relevant for all years."
"186","Palestinian Central Bureau of Statistics (2006). 
Poverty in The Palestinian Territory, Main Findings 2005. (http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/book1248.pdf)"
"187","Palestinian Central Bureau of Statistics (2004). Poverty Survey in The Palestinian Territory 2003 ,  Main Findings Report. (http://www.pcbs.gov.ps/Portals/_PCBS/Downloads/book1057.pdf)"
"188","A Poverty Profile for the Northern States of Sudan"
"189","Poverty in a decade of slow growth: Swaziland in the 2000’s. Comparable series since 2001."
"190","Swaziland Household Income and Expenditure Survey 2000-01. Comparable series since 2001."
"191","Khalid Abu-Ismail, Ali Abdel-Gadir and Heba El-Laithy (2011) Poverty and Inequality in Syria (1997-
2007) Arab Development Challenges Report Background Paper 2011/15.
(http://arabstates.undp.org/content/dam/rbas/doc/poverty/BG_15_Poverty%20and%20Inequal"
"192","Government of Syria and UNDP. Poverty in Syria 1996 - 2004. (http://www.cbssyr.sy/Poverty%20in%20syria%20EN.htm)"
"193","Information Brief on poverty in Tajikistan prepared by Joost de Laat."
"194","World Bank (2009). Republic of Tajikistan Poverty Assessment Report No. 51341-TJ."
"195","Thailand Socio-Economic Survey 2011"
"196","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2010. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"197","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2009. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"198","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2008. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"199","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2007. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"200","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2006. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"201","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2004. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"202","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2002. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"203","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 2000. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"204","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 1998. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"205","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 1996. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"206","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 1994. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"207","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 1992. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"208","National Source; Office of National Economic and Social Development Board; Calculated from Thailand Household Socio-Economic Survey 1990. The entire series is updated based on revised national poverty line in 2013, and thus, cannot be compared with series published in previous editions of the database."
"209","World Bank and National Source; Ministry of Finance, Directorate of National Statistics; Timor-Leste Living Standards Survey 2007; "Timor-Leste - Poverty in a young nation.""
"210","World Bank and National Source; Ministry of Finance, Directorate of National Statistics; Timor-Leste Living Standards Survey 2001; "Timor-Leste - Poverty in a young nation.""
"211","Comparable series since 2006."
"212","Profil de la pauvreté et de la vulnérabilité au Togo. Comparable series since 2006."
"213","TurkStat Household Income Consumption Expenditure Survey (HICE) http://www.turkstat.gov.tr/PreHaberBultenleri.do?id=10952"
"214","THE UGANDA NATIONAL HOUSEHOLD SURVEY 2012/13."
"215","Uganda Bureau of Statistics. Uganda National Household Survey (UHNS) IV."
"216","UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 2005/2006 REPORT ON THE SOCIO-ECONOMIC MODULE. Comparable series since 1992."
"217","UGANDA BUREAU OF STATISTICS: UGANDA NATIONAL HOUSEHOLD SURVEY 2002/2003 REPORT ON THE SOCIO-ECONOMIC SURVEY. Comparable series since 1992."
"218","National announcement from the Statistics office to the Press. Not comparable with prior series."
"219","National Source (www.ine.gub.uy) Urban rates only consider Montevideo and cities with more than 5.000 inhabitants."
"220","GSO Publication, Poverty and Migration Profile 2012."
"221","World Bank and National Source; VHLSS 2010 data, based on the 2010 revised WB/GSO expenditure poverty line, and thus, not comparable with the prior series. An alternative poverty headcount used by the goverment is 14.2, which is based on the official MOLISA poverty lines (revised every 5 years for the SEDP) and a  &quot;bottom up&quot; system using community level poverty counts aggregated up district, province and national levels."
"222","World Bank and National Source; The Government of Yemen, The World Bank and the UNDP, 2007. Yemen Poverty Assessment, Volume 1"
"223","LIVING CONDITIONS MONITORING SURVEY REPORT 2006 and 2010. Not comparable with prior series."
"224","Source: Poverty and Poverty Datum Line Analysis in Zimbabwe 2011/12. Poverty Income and Expenditure Survey. Not comparable with prior series."
